name,steam_appid,required_age,controller_support,supported_languages,developers,publishers,platforms,categories,genres,release_date,followers,estimated_wishlists,tags,price,estimated_revenue,currency,owners,average_forever,average_2weeks,median_forever,median_2weeks,concurrent_users,total_positive,total_negative,total_reviews
SENRAN KAGURA Burst Re:Newal,889510,17,none,"English, Japanese, French, Korean, Simplified Chinese, Traditional Chinese",Tamsoft,"XSEED Games,Marvelous USA, Inc.,Marvelous",windows,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing",Action,"Jan 22, 2019",22099,265188,"Anime,Sexual Content,Action,Nudity,Hack and Slash,Female Protagonist,Mature,Singleplayer,Beat 'em up,Character Customization,Ninja,Hentai,NSFW,Fighting,Story Rich,Great Soundtrack,Third Person,Visual Novel,Character Action Game,Cute",29.99,1551718,USD,"50,000 .. 100,000",0,0,0,0,24,2022,152,2174
Princess Kidnapper VR,558050,0,none,English,MAGIC ERA,MAGIC ERA,windows,"Single-player,Tracked Controller Support,VR Only,Family Sharing","Action,Adventure,Casual,Indie,Strategy","Nov 17, 2016",55,660,"Strategy,Action,Adventure,Indie,Casual,VR,Archery",6.99,1164,USD,"0 .. 20,000",0,0,0,0,0,4,3,7
JurassicDragon and the Binary Relic,2511420,12,full,English,"access computer services ltd,jurassicdragon1",access computer services ltd,windows,"Single-player,Steam Achievements,Full controller support,Family Sharing","Action,Adventure,Casual,Indie,Simulation","Aug 4, 2023",13,156,"Action,Adventure,Action-Adventure,Puzzle,3D,Abstract,First-Person,Stylized,Aliens,Atmospheric,Dinosaurs,Dragons,Fantasy,Horror,Lore-Rich,Mystery,Sci-fi,Surreal,Narration,Casual",2.99,213,USD,"0 .. 20,000",0,0,0,0,0,3,0,3
EXOTIUM - Episode 8,1448170,0,none,French,ALPHY,ALPHY,windows,"Single-player,Family Sharing","Casual,Indie","Mar 16, 2021",21,252,"Indie,Casual,Walking Simulator,Narration,Interactive Fiction,Solitaire,3D,Cinematic,Singleplayer",0.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
PROJECT;HYPATIOS,2609920,0,none,English,FerryCafe,FerryCafe,windows,"Single-player,Family Sharing","Action,RPG,Strategy","Dec 12, 2023",83,996,"FPS,Roguelite,Sci-fi,RPG,Philosophical,Cyberpunk,Shooter,Strategy,Alternate History,First-Person,Noir,Action Roguelike,Time Travel,Roguelike,Action,Conversation,Fantasy,Dark Humor,Abstract,Realistic",4.99,237,USD,"0 .. 20,000",0,0,0,0,0,1,1,2
Gamble Tower,1577460,0,none,"English, Portuguese - Brazil",Indiebuild,Indiebuild,windows,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","RPG,Strategy","Sep 1, 2023",336,4032,"Strategy,Roguelike Deckbuilder,Roguelite,Gambling,Deckbuilding,Card Battler,Turn-Based Combat,Turn-Based Strategy,Card Game,Roguelike,Fantasy,Stylized,2D,Medieval,Singleplayer,Hand-drawn,Turn-Based Tactics,Loot,Magic,Combat",15.99,8372,USD,"0 .. 20,000",0,0,0,0,2,21,1,22
Mutant College,3291310,0,none,"English, Italian",Space Samurai Studio,Space Samurai Studio,"windows,mac,linux","Single-player,Steam Achievements,Steam Cloud,Family Sharing","Adventure,Indie,Early Access","Jan 20, 2025",1633,19596,,12.99,12057,USD,"0 .. 20,000",0,0,0,0,36,29,10,39
Draconic Date,2336610,0,none,English,Wataponno,Wataponno,windows,"Single-player,Remote Play Together,Family Sharing",Casual,"Nov 29, 2024",212,2544,,1.99,615,USD,"0 .. 20,000",0,0,0,0,0,11,2,13
Acceleration of SUGURI X-Edition HD,265170,0,none,English,Orange_Juice,"Rockin Android,Rockin' Android",windows,"Single-player,Multi-player,Partial Controller Support,Steam Cloud,Family Sharing","Action,Indie","Jul 1, 2014",1284,15408,"Anime,Action,Indie,Bullet Hell,Fighting,Shoot 'Em Up,Female Protagonist,Local Multiplayer",5.99,20671,USD,"20,000 .. 50,000",0,0,0,0,0,126,19,145
The Running Man,1343970,0,full,English,samuel crevier,samuel crevier,windows,"Single-player,Full controller support,Family Sharing","Action,Adventure,Indie,Racing","Jun 25, 2020",133,1596,"2D Platformer,Action,Adventure,Casual,Parkour,Platformer,3D,Singleplayer,Stealth,Indie,Racing",0.99,70,USD,"0 .. 20,000",0,0,0,0,2,3,0,3
Shoottris: Beyond the Classic Game,933740,0,none,"English, Spanish - Spain",PalveGames,PalveGames,windows,"Single-player,Family Sharing","Casual,Indie","Oct 10, 2018",11,132,"Indie,Casual",4.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Hentai Senpai: Apocalypse Girls,2993460,0,none,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Kink Master Studios,Kink Master Studios,windows,"Single-player,Family Sharing",Casual,"May 21, 2024",70,840,,1.99,94,USD,"0 .. 20,000",0,0,0,0,0,1,1,2
Dark Rift,2308120,0,none,English,Kronos Digital Entertainment,"Piko Interactive LLC,Bleem.net",windows,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Partial Controller Support,Remote Play Together,Family Sharing",Action,"Jun 8, 2023",110,1320,"Action,3D Fighter,Arcade,Beat 'em up,Hack and Slash,Spectacle fighter,2.5D,3D,Comic Book,1990's,Dark Fantasy,Futuristic,Retro,Sci-fi,PvP,Combat,Multiplayer,Singleplayer,Local Multiplayer",9.99,713,USD,"0 .. 20,000",0,0,0,0,0,1,2,3
Hentai Neon Nights,2523090,0,none,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Slippy Floor,Slippy Floor,windows,"Single-player,Steam Achievements,Family Sharing","Casual,Indie","Sep 22, 2023",58,696,,3.99,94,USD,"0 .. 20,000",0,0,0,0,0,1,0,1
The Tragedy of little Joy,1669390,0,none,"English, German",Lasse Eversmeier,Lasse Eversmeier,windows,"Single-player,Family Sharing","Adventure,Indie","Dec 16, 2021",14,168,"Adventure,Platformer,Visual Novel,3D Platformer,Precision Platformer,Indie,3D,Third Person,Cute,Atmospheric,Emotional,Combat,Singleplayer",5.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Trials of Mana,924980,0,full,"English, French, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese",Square Enix,Square Enix,windows,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Family Sharing",RPG,"Apr 24, 2020",47704,572448,"RPG,JRPG,Anime,Action RPG,Remake,Singleplayer,Adventure,Fantasy,Action,Hack and Slash,Great Soundtrack,Story Rich,Female Protagonist,Character Customization,Classic,Party-Based RPG,Cute,Open World,Third Person",49.99,5355118,USD,"200,000 .. 500,000",0,0,0,0,79,4134,367,4501
Zombie City Defense 2,473970,0,full,"English, Russian",Mozg Labs,Mozg Labs,"windows,mac,linux","Single-player,Steam Achievements,Full controller support,VR Supported,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Family Sharing","Action,Indie,Simulation,Strategy","Aug 19, 2016",4249,50988,"Strategy,Simulation,Action,Indie,Zombies,Tower Defense,Tactical,Military,War,3D Vision,Realistic,RTS,VR",9.99,37566,USD,"20,000 .. 50,000",0,0,0,0,0,106,52,158
MageWorks,494780,0,none,English,"Earthborn Interactive, LLC","Earthborn Interactive, LLC",windows,"Single-player,Tracked Controller Support,VR Only,Family Sharing",Casual,"Mar 28, 2019",219,2628,"VR,Action,Adventure,Magic,Medieval,Combat,Exploration,Crafting,Fantasy,Dungeon Crawler,Action-Adventure,PvE,Action RPG,Roguelike,RPG,Indie,First-Person,Singleplayer,Early Access,Stylized",9.99,3090,USD,"0 .. 20,000",0,0,0,0,0,7,6,13
High Up,3071830,0,none,English,Hennessey Gaming LLC,Hennessey Gaming LLC,windows,"Single-player,Steam Achievements,Partial Controller Support,Family Sharing","Action,Adventure,Casual,Indie,Strategy","Jul 31, 2024",11,132,"Adventure,Strategy,Action-Adventure,Platformer,3D Platformer,Exploration,Precision Platformer,Abstract,Colorful,Third Person,Fantasy,Magic,Mystery,Nature,Parkour,Space,Indie,Survival,Action,Casual",14.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Sojourner,652800,0,full,English,Madison Squirrel,Madison Squirrel,windows,"Single-player,Full controller support,Family Sharing","Adventure,RPG","Jul 17, 2017",130,1560,"Adventure,RPG,RPGMaker,Indie",4.99,2731,USD,"0 .. 20,000",0,0,0,0,0,22,1,23
Jack the Barbarian,852160,0,full,English,Cloaz Studio,Cloaz Studio,"windows,linux","Single-player,Full controller support,Family Sharing","Adventure,Casual,Indie,RPG","May 21, 2018",158,1896,"Adventure,RPG,Indie,Casual,RPGMaker",4.99,2731,USD,"0 .. 20,000",0,0,0,0,0,13,10,23
Chickado,2504660,0,full,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Japanese, Korean, Spanish - Latin America, Portuguese - Portugal, Turkish",Bugy Games,Bugy Games,"windows,mac","Single-player,Full controller support,Family Sharing","Action,Adventure,Casual,Indie,Strategy,Early Access","Sep 22, 2023",93,1116,"Early Access,Action Roguelike,Shoot 'Em Up,Roguelite,Bullet Hell,Action,Arena Shooter,Casual,Top-Down Shooter,Adventure,Isometric,Colorful,Cute,Top-Down,Atmospheric,Nature,Strategy,Quick-Time Events,Controller,Combat",2.99,1138,USD,"0 .. 20,000",0,0,0,0,0,11,5,16
Aqua Rally,1029530,0,full,English,PixelXYZ,PixelXYZ,windows,"Single-player,Multi-player,PvP,Online PvP,Full controller support,Family Sharing","Action,Indie,Racing,Early Access","Apr 26, 2019",62,744,"Indie,Racing,Action,Early Access",3.99,189,USD,"0 .. 20,000",0,0,0,0,0,1,1,2
Cytoclash,1175040,0,none,English,Setrino Software LLC,Setrino Software LLC,windows,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Action,Indie","Nov 6, 2020",16,192,"Action,Indie,Arcade,On-Rails Shooter,FPS,Score Attack",6.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Magicraft,2103140,0,full,"English, Simplified Chinese, Traditional Chinese, Japanese, German, Russian, Korean",波浪游戏 (Wave Game),bilibili,windows,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Adventure,Indie,RPG","Nov 1, 2024",29995,359940,"Action Roguelike,Roguelite,Bullet Hell,Looter Shooter,Strategy RPG,Roguelike,RPG,Top-Down,Deckbuilding,Procedural Generation,Traditional Roguelike,Action,Lovecraftian,Magic,Crafting,Adventure,Singleplayer,Indie,Addictive,Early Access",15.99,4282464,USD,"500,000 .. 1,000,000",2733,655,1616,655,1869,10305,948,11253
Steampunk Syndicate 2,684420,0,none,"English, Russian",Stereo7 Games,Stereo7 Games,windows,"Single-player,Steam Achievements,Family Sharing","Action,Casual,Indie,Strategy","Sep 21, 2017",98,1176,"Action,Indie,Casual,Strategy,Tower Defense,Steampunk",1.99,615,USD,"0 .. 20,000",0,0,0,0,0,6,7,13
Until Lights Out,2131380,0,none,English,Samuka Gomes,Samuka Gomes,windows,"Single-player,Partial Controller Support,Family Sharing","Action,Indie","Sep 16, 2022",53,636,"Female Protagonist,Adventure,First-Person,Psychological Horror,Narration,Singleplayer,Horror,Action,Hidden Object,3D,Action-Adventure,Exploration,Realistic,Atmospheric,Drama,Psychological,Thriller,Story Rich,Indie",1.99,568,USD,"20,000 .. 50,000",0,0,0,0,0,3,9,12
Sass VS Fash: Girlballs of Steel,2255380,0,none,English,JMAA Games,JMAA Games,windows,"Single-player,Family Sharing","Action,Indie,Early Access","Jan 2, 2023",83,996,"Boomer Shooter,FPS,Action-Adventure,Female Protagonist,3D,First-Person,LGBTQ+,Linear,Story Rich,Action,Stylized,Pixel Graphics,Military,War,1990's,Old School,Retro,Combat,Singleplayer,Early Access",1.99,568,USD,"0 .. 20,000",0,0,0,0,0,6,6,12
Valley Run,1091350,0,none,English,Alliance4devs,Alliance4devs,windows,"Single-player,Tracked Controller Support,VR Only,Family Sharing","Action,Casual,Racing","Jul 3, 2019",14,168,"Action,Casual,Racing,VR",0.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
DOKA 2 KISHKI EDITION,967250,0,none,"Russian, English",Agafonoff,Agafonoff,windows,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Action,Adventure,Casual,Indie,RPG,Simulation","Nov 5, 2018",8108,97296,"Gore,Violent,Memes,Action,Indie,Simulation,Dark Humor,RPG,Adventure,Survival,Atmospheric,Mature,Casual,Great Soundtrack,Funny,Difficult,Dark,Realistic,Short,FPS",0.99,74880,USD,"500,000 .. 1,000,000",235,0,365,0,0,2700,478,3178
Jungle Adventure,1041630,0,none,English,mCoCoA,mCoCoA,windows,"Single-player,Tracked Controller Support,VR Only,Family Sharing","Action,Adventure,Indie","Mar 26, 2019",21,252,"Action,Indie,Adventure,VR",9.99,237,USD,"0 .. 20,000",0,0,0,0,0,0,1,1
Street Sports Baseball,2458230,0,none,English,"Epyx, Inc.",Pixel Games UK,windows,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Partial Controller Support,Steam Cloud,Remote Play Together,Family Sharing",Sports,"Jun 20, 2023",30,360,"Retro,Baseball,Nostalgia,Sports,Local Multiplayer,Pixel Graphics,2D,Cute,Isometric,Top-Down,Cartoony,Colorful,1980s,Old School,Multiplayer,Singleplayer,PvE,PvP",2.99,71,USD,"0 .. 20,000",0,0,0,0,0,1,0,1
Easy Racing,891290,0,none,English,Adeeemmm,My Way Games,windows,"Single-player,Steam Achievements,Family Sharing","Casual,Indie,Racing","Dec 17, 2018",28,336,"Indie,Casual,Racing",4.99,475,USD,"0 .. 20,000",0,0,0,0,0,3,1,4
Destiny Encore,3072780,0,none,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Simplified Chinese, Traditional Chinese, Korean, Danish, Spanish - Latin America, Finnish, Greek, Dutch, Hungarian, Indonesian, Japanese, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Swedish, Thai, Turkish, Ukrainian, Vietnamese",Urihimura,Urihimura,windows,"Single-player,Steam Achievements,Family Sharing","Action,Early Access","Aug 1, 2024",80,960,"Action,Mature,Shooter,Third-Person Shooter,Procedural Generation,Female Protagonist,Third Person,Early Access,Sci-fi,Nudity,Inventory Management,Magic,Action-Adventure,Action Roguelike,Gun Customization,Singleplayer,Dark",2.99,284,USD,"20,000 .. 50,000",0,0,0,0,0,3,1,4
Party Golf,538550,0,full,"English, French, German, Spanish - Spain",Giant Margarita,Giant Margarita,windows,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV,Remote Play Together,Family Sharing","Indie,Sports","Oct 26, 2016",367,4404,"Sports,Indie,Casual,Golf,Multiplayer,Mini Golf,4 Player Local,Party,Controller,Local Co-Op,Local Multiplayer,Singleplayer,Arcade,2D,Minimalist,Colorful,Moddable,Physics,PvP,Procedural Generation",14.99,22476,USD,"50,000 .. 100,000",0,0,0,0,0,51,12,63
My life as a cat,2663910,0,none,English,Black Elephant Games,Black Elephant Games,windows,"Single-player,Family Sharing","Adventure,Casual,Indie","Mar 1, 2024",17,204,"Adventure,Interactive Fiction,Visual Novel,Choose Your Own Adventure,Stylized,Text-Based,Atmospheric,Cats,Dark,Emotional,Nature,Philosophical,Relaxing,Survival,Choices Matter,Multiple Endings,Narration,Story Rich,Singleplayer,Indie",1.99,47,USD,"0 .. 20,000",0,0,0,0,0,1,0,1
Twelve Floors Below.,1677190,0,none,English,Three Buck Games,Three Buck Games,windows,"Single-player,Family Sharing","Adventure,Indie","May 31, 2022",126,1512,"Choose Your Own Adventure,Exploration,Interactive Fiction,Walking Simulator,3D,First-Person,Psychological Horror,Choices Matter,Multiple Endings,Story Rich,Narration,Horror,Dystopian ,Thriller,Atmospheric,Psychological,Survival,Adventure,Conspiracy,Dark",3,2427,USD,"0 .. 20,000",0,0,0,0,0,22,12,34
Soulstone of Hope,2588550,0,full,English,Tuomo Laine,Tuomo's Games,"windows,mac,linux","Single-player,Full controller support,Family Sharing",RPG,"Oct 16, 2023",50,600,"Dungeon Crawler,RPG,PvE,JRPG,Female Protagonist,2D,Multiple Endings,Turn-Based Combat,Linear,Anime,Colorful,Fantasy,Family Friendly,Medieval,Old School,Combat,Singleplayer",4.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Paper Dash - Invasion of Greed,2780940,0,full,English,EpiXR Games UG,EpiXR Games UG,windows,"Single-player,Steam Achievements,Full controller support,Family Sharing","Casual,Indie,Simulation","May 24, 2024",20,240,"Casual,Simulation,Arcade,Vehicular Combat,Controller,Linear,Indie,Walking Simulator,Singleplayer,Flight,3D,Atmospheric,Relaxing,Exploration,Family Friendly,Colorful",9.99,2377,USD,"0 .. 20,000",0,0,0,0,0,10,0,10
Hentai Tales: Taboo Sisters,3414930,0,none,"English, French, German, Spanish - Spain, Russian, Japanese, Ukrainian, Simplified Chinese, Traditional Chinese, Portuguese - Portugal, Korean, Malay",Hentai works,Hentai works,"windows,mac,linux","Single-player,Steam Achievements,Steam Cloud,Family Sharing","Casual,Indie,Strategy","Jan 30, 2025",115,1380,,0.99,141,USD,"0 .. 20,000",0,0,0,0,0,4,2,6
SuperDucks,3134690,0,none,"English, German, Spanish - Spain, Russian",Vivo Games Studios,Vivo Games Studios,"windows,mac","Single-player,Family Sharing","Action,Adventure,Indie","Sep 13, 2024",8,96,"2D Platformer,Puzzle Platformer,Mystery Dungeon,Adventure,Platformer,Action-Adventure,Supernatural,2D,Superhero,Magic,Third Person,Horror,Linear,Atmospheric,Action,Turn-Based Combat,Gothic,Hand-drawn,Cute,Colorful",5.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Hentai vs Virus: I Am Waifu,1270930,0,none,"English, Russian",Axyos Games,Axyos Games,windows,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing","Action,Adventure,Casual,Indie","May 14, 2020",1468,17616,,2.99,25547,USD,"0 .. 20,000",0,0,0,0,2,311,48,359
One Last Day,328710,0,none,"English, Spanish - Spain, French",Bloodwolf Studio,Bloodwolf Studio,"windows,mac","Single-player,Steam Achievements,Family Sharing","Action,Adventure,Indie,Early Access","Apr 28, 2015",1115,13380,"Adventure,Indie,Early Access,Action,Survival,Zombies,Sandbox,Multiplayer",12.99,26897,USD,"0 .. 20,000",0,0,0,0,0,50,37,87
ShotKill,955300,0,none,"English, French, Italian, Spanish - Spain, Traditional Chinese, Portuguese - Portugal, Russian",StudioFriends,StudioFriends,windows,"Single-player,Multi-player,PvP,Online PvP,Family Sharing","Action,Indie,Massively Multiplayer","Jun 21, 2021",109,1308,"Indie,Action,Massively Multiplayer",6.99,332,USD,"0 .. 20,000",0,0,0,0,0,1,1,2
SpaceEscapeVR,1064260,0,none,German,VRA-Games,VRA-Games,windows,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Tracked Controller Support,VR Only,Family Sharing",Simulation,"Dec 21, 2021",74,888,"VR,Funny,Multiplayer,Co-op,Online Co-Op,Escape Room,Time Management,Outbreak Sim,Space,Sci-fi,Tabletop,Simulation,Arcade,Crafting,Singleplayer",11.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Becca,2556030,0,none,English,Slimomo,Slimomo,"windows,mac","Single-player,Steam Achievements,Family Sharing","Adventure,Casual,Indie","Feb 22, 2024",80,960,"Interactive Fiction,Short,Casual,Point & Click,Cute,Cozy,2D,Hand-drawn,Relaxing,Atmospheric,Singleplayer,Family Friendly,Adventure,Funny,Cartoony,Colorful,Minimalist,Stylized,Puzzle,Emotional",1.99,852,USD,"0 .. 20,000",0,0,0,0,0,18,0,18
Jackpot Bennaction - B02 : Discover The Mystery Combination,1747150,0,none,"English, French",R. Benny,Bennaction,windows,"Single-player,Family Sharing",Casual,"Oct 18, 2021",8,96,"Casual,Gambling,Hidden Object,Puzzle,Choices Matter,2D,Singleplayer",6.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
DRAGON QUEST BUILDERS™ 2,1072420,0,full,"English, French, Italian, German, Spanish - Spain, Korean, Traditional Chinese, Japanese, Simplified Chinese","Square Enix,KOEI TECMO GAMES CO., LTD.",Square Enix,windows,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play on Tablet,Family Sharing","Action,Adventure,RPG","Dec 10, 2019",44041,528492,"RPG,Open World Survival Craft,Adventure,Action,Building,Sandbox,Crafting,JRPG,Anime,Cute,Co-op,Open World,Multiplayer,Third Person,Colorful,Voxel,Survival,Platformer,Singleplayer,Character Customization",49.99,7151659,USD,"200,000 .. 500,000",0,0,0,0,262,5575,436,6011
AI Olympius,1478970,0,none,"English, Ukrainian",Lion's Shade,Lion's Shade,windows,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play Together,Family Sharing","Action,Adventure,Indie,RPG,Early Access","Jul 20, 2023",1771,21252,"Third-Person Shooter,PvE,Shooter,Action-Adventure,Character Customization,RPG,3D,Split Screen,Third Person,Post-apocalyptic,Base Building,Action,Sci-fi,Adventure,Futuristic,Co-op,Local Co-Op,Singleplayer,Early Access,Indie",12.99,26278,USD,"0 .. 20,000",0,0,0,0,2,76,9,85
ELASH,975690,0,none,English,HIVOLVE,HIVOLVE,windows,"Single-player,Tracked Controller Support,VR Only,Family Sharing","Action,Adventure,Indie,Strategy,Early Access","Dec 21, 2018",60,720,"Early Access,Indie,Action,Adventure,Strategy,VR,Fighting,Great Soundtrack,First-Person,Action-Adventure,Funny,Singleplayer,Gun Customization",1.99,94,USD,"0 .. 20,000",0,0,0,0,0,2,0,2
TWO MONTHS,1513450,0,full,"English, Japanese",undies,undies,"windows,linux","Single-player,Steam Achievements,Full controller support,Family Sharing","Action,Adventure,Indie,RPG","Jan 20, 2021",120,1440,"Action,Souls-like,Action RPG,RPG,Difficult,3D,Third Person,Retro,Combat,Indie,Hack and Slash,Multiple Endings,PvE,Singleplayer,Adventure",7.99,8557,USD,"0 .. 20,000",0,0,0,0,0,41,4,45
Phantom Brigade,553540,0,none,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",Brace Yourself Games,Brace Yourself Games,windows,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing","Indie,RPG,Strategy","Feb 28, 2023",46752,561024,"Turn-Based Tactics,Tactical RPG,Mechs,Strategy,Real Time Tactics,Tactical,Turn-Based,Turn-Based Strategy,Physics,Strategy RPG,Sci-fi,Robots,Tanks,Procedural Generation,Action,Turn-Based Combat,Realistic,Management,Military,Real-Time with Pause",29.99,2094891,USD,"200,000 .. 500,000",1562,0,1781,0,36,2253,682,2935
FlyWarzz,866080,0,none,English,Anarquico,Anarquico,windows,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Partial Controller Support,Stats,Steam Leaderboards,Family Sharing","Action,Indie,Racing,Simulation","Sep 2, 2018",31,372,"Action,Indie,Simulation,Racing",5.99,142,USD,"0 .. 20,000",0,0,0,0,0,1,0,1
Quantum Odyssey,2802710,0,none,English,Quarks Interactive,Quarks Interactive,windows,"Single-player,Steam Achievements,Includes level editor,Family Sharing","Indie,Simulation,Early Access","Jan 29, 2025",482,5784,"Early Access,Singleplayer,Logic,Puzzle,Education,2D,Simulation,Hacking,Sci-fi,Sandbox,Difficult,Science,Programming,Philosophical,Coding,Automation",17.99,7278,USD,"0 .. 20,000",0,0,0,0,6,16,1,17
Tarot Realms,2816810,0,none,English,Wizards of the Infinite Realms,WotIR,windows,"Single-player,Family Sharing","Adventure,Casual,Indie,RPG,Simulation,Early Access","Nov 20, 2024",48,576,"Early Access,Card Game,Casual,Point & Click,Adventure,Relaxing,RPG,Interactive Fiction,Choose Your Own Adventure,Exploration,Immersive Sim,3D,First-Person,Realistic,Clicker,Education,Fantasy,Illuminati,Mythology,Supernatural",6.99,332,USD,"0 .. 20,000",0,0,0,0,0,1,1,2
SPACE ALPHA,1487750,0,none,English,Space Alpha,Space Alpha,windows,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Family Sharing","Action,Indie,Early Access","Aug 6, 2021",53,636,"Action,Sci-fi,Multiplayer,PvP,Massively Multiplayer,Third-Person Shooter,Shooter,Combat,Space,First-Person,Aliens,Robots,Bullet Time,Singleplayer,Local Multiplayer,3D,3D Fighter,Early Access,Indie",10.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
Art Detective: Hidden in Gusu,3369050,0,none,"English, French, Italian, German, Spanish - Spain, Danish, Ukrainian, Russian, Bulgarian, Hungarian, Indonesian, Turkish, Greek, Norwegian, Czech, Japanese, Polish, Thai, Swedish, Simplified Chinese, Traditional Chinese, Romanian, Finnish, Dutch, Portuguese - Brazil, Portuguese - Portugal, Spanish - Latin America, Vietnamese, Arabic, Korean, Uzbek, Urdu, Armenian, Igbo, Sindhi, Sinhala, Croatian, Icelandic, Cherokee, Galician, Catalan, Afrikaans, Kannada, Luxembourgish, Hindi, Gujarati, Kyrgyz, Kazakh, Turkmen, K'iche', Kinyarwanda, Tajik, Serbian, Odia, Welsh, Konkani, Bangla, Nepali, Basque, Hebrew, Latvian, Tigrinya, Slovak, Slovenian, Swahili, Punjabi (Gurmukhi), Punjabi (Shahmukhi), Georgian, Maori, Wolof, Bosnian, Persian, Telugu, Tamil, Irish, Estonian, Valencian, Belarusian, Quechua, Zulu, Xhosa, Lithuanian, Sotho, Sorani, Yoruba, Uyghur, Scots, Tswana, Filipino, Mongolian, Hausa, Dari, Azerbaijani, Amharic, Albanian, Assamese, Tatar, Macedonian, Marathi, Malayalam, Malay, Maltese, Khmer",MindPalace Studio,MindPalace Studio,windows,"Single-player,Steam Achievements,Family Sharing","Casual,Indie","Dec 21, 2024",16,192,"Casual,Hidden Object,Exploration,Puzzle,Historical,Indie,2D Platformer,Point & Click,Design & Illustration,2D,Relaxing,Hand-drawn,Stylized,Retro,Singleplayer",1.99,331,USD,"0 .. 20,000",0,0,0,0,0,7,0,7
Monster&Strategy,2202480,0,none,"English, Japanese, Simplified Chinese",Swift Cucumber,Swift Cucumber,windows,"Single-player,Family Sharing","Indie,Strategy,Early Access","Mar 25, 2024",23,276,"Strategy,Card Game,Card Battler,Deckbuilding,2D,Indie,Early Access,Pixel Graphics,Underground,Singleplayer,Roguelite",6.99,332,USD,"0 .. 20,000",0,0,0,0,0,2,0,2
Cope Island: Adrift,969530,0,none,English,zDS,zDS,windows,"Single-player,Steam Achievements,Family Sharing",RPG,"Apr 30, 2019",56,672,"RPG,RPGMaker",4.99,475,USD,"0 .. 20,000",0,0,0,0,0,4,0,4
Marble Escape,2284520,0,full,English,Indie Games Ltd,Indie Games Ltd,windows,"Single-player,Full controller support,Family Sharing","Casual,Indie,Early Access","Feb 23, 2023",8,96,"Casual,Puzzle,3D,First-Person,Family Friendly,Physics,Singleplayer,Indie,Early Access,Arcade,3D Platformer,Puzzle Platformer",1.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
