name,steam_appid,required_age,controller_support,supported_languages,developers,publishers,platforms,categories,genres,release_date,followers,estimated_wishlists,tags,price,estimated_revenue,currency,owners,average_forever,average_2weeks,median_forever,median_2weeks,concurrent_users,total_positive,total_negative,total_reviews
HENTAI 18+,2550030,0,none,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Afrikaans, Albanian, Amharic, Armenian, Assamese, Azerbaijani, Bangla, Basque, Belarusian, Bosnian, Catalan, Cherokee, Croatian, Dari, Estonian, Filipino, Galician, Georgian, Gujarati, Hausa, Hebrew, Hindi, Icelandic, Igbo, Irish, K'iche', Kannada, Kazakh, Khmer, Kinyarwanda, Konkani, Kyrgyz, Latvian, Lithuanian, Luxembourgish, Macedonian, Malay, Malayalam, Maltese, Maori, Marathi, Mongolian, Nepali, Odia, Persian, Punjabi (Gurmukhi), Punjabi (Shahmukhi), Quechua, Scots, Serbian, Sindhi, Sinhala, Slovak, Slovenian, Sorani, Sotho, Swahili, Tajik, Tamil, Tatar, Telugu, Tigrinya, Tswana, Turkmen, Urdu, Uyghur, Uzbek, Valencian, Welsh, Wolof, Xhosa, Yoruba, Zulu",LTZinc,LTZinc,windows,"Single-player,Family Sharing","Action,Adventure,Casual,Indie,RPG,Simulation","Feb 13, 2024",230,2760,,1.99,852,USD,"0 .. 20,000",0,0,0,0,0,16,2,18
Adventures of Robinson Crusoe,334470,0,none,English,MagicIndie,MumboJumbo,windows,"Single-player,Family Sharing","Adventure,Casual","Jan 9, 2015",159,1908,"Casual,Adventure,Hidden Object,Point & Click",9.99,2853,USD,"20,000 .. 50,000",0,0,0,0,0,8,4,12
Prehistorik 2,749140,0,none,English,Titus Interactive,Interplay Entertainment Corp.,"windows,mac,linux","Single-player,Family Sharing","Action,Adventure","Nov 28, 2017",614,7368,"Adventure,Action,Platformer,Retro,2D,Side Scroller,2D Platformer,RPG,Classic,1990's",9.99,13314,USD,"0 .. 20,000",0,0,0,0,0,52,4,56
Tower Behind the Moon,1001490,0,none,English,Choice of Games,Choice of Games,"windows,mac,linux","Single-player,Steam Achievements,Steam Cloud,Family Sharing","Adventure,Indie,RPG","Dec 20, 2018",49,588,"Adventure,RPG,Indie,Text-Based",7.99,3232,USD,"0 .. 20,000",0,0,0,0,0,10,7,17
CapRiders: Euro Soccer,492200,0,full,English,3GoGames,3GoGames,"windows,mac","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play Together,Family Sharing","Indie,Sports","Apr 7, 2017",174,2088,"Sports,Indie",3.99,1329,USD,"0 .. 20,000",0,0,0,0,0,13,1,14
Hardway Party,816150,0,full,"English, French, German, Spanish - Spain, Russian, Simplified Chinese","Wastelands Interactive,Digital Melody",Wastelands Interactive,"windows,mac","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together,Family Sharing","Action,Casual,Indie,Racing,Sports","Oct 5, 2018",103,1236,"Action,Casual,Racing,Indie,Sports,Arcade",4.99,712,USD,"0 .. 20,000",0,0,0,0,0,5,1,6
Saki - sakuseikan.,2272520,0,none,English,Nyankofeti,Nyankofeti,windows,"Single-player,Family Sharing","Adventure,Casual,Simulation","Feb 2, 2023",252,3024,,24.99,1784,USD,"0 .. 20,000",0,0,0,0,0,0,3,3
Gnomancer,290180,0,full,English,ProjectorGames,ProjectorGames,windows,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,VR Support,Remote Play Together,Family Sharing","Action,Adventure,Casual,Indie","Apr 7, 2021",436,5232,"Action,Indie,Casual,Adventure,Action RPG,Early Access",11.99,4280,USD,"0 .. 20,000",0,0,0,0,0,10,5,15
The Arena Guy,1399270,0,none,"English, French, Italian, German, Spanish - Spain, Traditional Chinese, Korean, Polish, Russian, Japanese",PaulArt,PaulArt,windows,"Single-player,Steam Achievements,Stats,Family Sharing","Action,Indie,RPG","Dec 3, 2020",33,396,"Arena Shooter,Action,Top-Down Shooter,Hack and Slash,RPG,Survival,Hero Shooter,Shooter,Action RPG,Roguelike,Looter Shooter,Spectacle fighter,Fighting,3D,Top-Down,Minimalist,Colorful,Loot,Destruction,Tactical",0.99,141,USD,"0 .. 20,000",0,0,0,0,0,4,2,6
Otherplane,2245610,0,none,English,Elusior Studios,Elusior Studios,windows,"Single-player,Multi-player,Co-op,Online Co-op,Family Sharing","Indie,Early Access","Oct 25, 2024",236,2832,"Horror,Multiplayer,Co-op,Escape Room,Survival Horror,Psychological Horror,Online Co-Op,Puzzle,Action,Atmospheric,Realistic,First-Person,Singleplayer,Early Access,Demons,Supernatural,Immersive,Mystery,3D,Thriller",9.99,4517,USD,"0 .. 20,000",0,0,0,0,0,13,6,19
